Id,Use Case,Status,Created Date,Close Date,Price,Discount code,Pain,Loss Reason,Days,Discount
0otwjac7,Corporate Events,Closed Won,2020-08-27,2020-08-27,14876.0,QUARTERLY75OFF,Not_Specified,Not_Specified,0 days,True
4d83bs7p,Corporate Events,Closed Won,2020-08-27,2020-08-27,240.0,MONTH50REBATE,financial control,Not_Specified,0 days,True
f1jiny0o,Corporate Events,Closed Lost,2020-09-26,2020-09-26,200.0,Not_Specified,operations,no product fit,0 days,False
bwrx3ael,Sports Events,Closed Won,2019-07-06,2019-07-06,240.0,SAVEMONTH50G,operations,Not_Specified,0 days,True
ga5x5ohc,Corporate Events,Closed Won,2019-11-16,2019-11-16,576.0,2SEMESTERS20SALE,quality of delivery,Not_Specified,0 days,True
194gbb0w,Educational Seminars,Closed Lost,2019-11-20,2019-11-20,200.0,Not_Specified,Not_Specified,lost to competitor,0 days,False
81a73dzr,Corporate Events,Closed Lost,2019-11-20,2019-11-20,576.0,2SEMESTERS20SALE,operations,not target,0 days,True
6isqpe81,Corporate Events,Closed Lost,2019-11-17,2019-11-19,768.0,2SEMESTERS20OFF,quality of delivery,lost to competitor,2 days,True
n124yb1s,Corporate Events,Closed Won,2019-11-25,2019-11-25,960.0,ANNUAL60DEAL,Not_Specified,Not_Specified,0 days,True
sfsixfyw,Corporate Events,Closed Won,2019-02-07,2019-02-07,300.0,MONTH50CUTBACK,quality of delivery,Not_Specified,0 days,True
zppu8nyk,Corporate Events,Closed Lost,2019-05-07,2019-07-07,240.0,Not_Specified,quality of delivery,no response,61 days,False
1recnp1e,Corporate Events,Closed Won,2019-05-07,2019-05-07,768.0,2SEMESTERS20OFF,financial control,Not_Specified,0 days,True
xtpzigqr,Corporate Events,Closed Lost,2019-12-08,2019-12-11,1344.0,YEARLY30PROMO,quality of delivery,not target,3 days,True
iz6uq7fg,Sports Events,Demo 1,2019-12-09,2020-01-26,Not_Specified,Not_Specified,quality of delivery,Not_Specified,48 days,False
feni9v9i,Corporate Events,Closed Won,2019-12-25,2019-12-25,960.0,ANNUAL60DEAL,operations,Not_Specified,0 days,True
5nxsvhpy,Corporate Events,Closed Won,2019-11-10,2019-11-10,324.0,10OFFREDUCED,operations,Not_Specified,0 days,True
dv6tw5nc,Sports Events,Closed Won,2019-11-16,2019-11-17,1008.0,10OFFREDUCED,operations,Not_Specified,1 days,True
yc6jjubk,Educational Seminars,Closed Won,2019-11-23,2019-11-24,324.0,SLASH10,operations,Not_Specified,1 days,True
7tq43nwv,Corporate Events,Closed Won,2019-07-07,2019-07-07,768.0,2SEMESTERS20OFF,operations,Not_Specified,0 days,True
p86gp515,Corporate Events,Closed Won,2019-11-19,2019-11-19,720.0,4SEMESTERS40DEAL,operations,Not_Specified,0 days,True
nm5k3jtx,Corporate Events,Closed Lost,2019-12-08,2019-12-09,0.0,Not_Specified,operations,lost to competitor,1 days,False
ri0x1wzk,Corporate Events,Closed Won,2019-12-14,2019-12-14,768.0,2SEMESTERS20OFF,operations,Not_Specified,0 days,True
6exqr5v3,Educational Seminars,Closed Lost,2019-12-15,2019-12-25,8014.0,YEARLONG75BONUS,operations,no response,10 days,True
7h1091nf,Educational Seminars,Closed Won,2019-12-17,2020-02-25,450.0,SAVEQUARTER25,operations,Not_Specified,70 days,True
l8td1uxt,Corporate Events,Closed Won,2019-12-21,2019-12-21,324.0,10OFFREDUCED,operations,Not_Specified,0 days,True
fffpl037,Educational Seminars,Closed Lost,2019-12-22,2019-12-25,1344.0,ANNUAL30BONUS,Not_Specified,lost to competitor,3 days,True
sh6w5l7r,Corporate Events,Negotiation,2019-12-23,2019-12-23,300.0,MONTH50CUTBACK,operations,Not_Specified,0 days,True
rk8kyngl,Corporate Events,Closed Won,2020-03-27,2020-03-27,768.0,2SEMESTERS20OFF,quality of delivery,Not_Specified,0 days,True
llcxz6dm,Educational Seminars,Negotiation,2020-08-27,2020-08-27,1344.0,ANNUAL30BONUS,quality of delivery,Not_Specified,0 days,True
juy03jbv,Sports Events,Closed Won,2019-08-06,2019-08-06,768.0,HALFYEAR20G,quality of delivery,Not_Specified,0 days,True
hhylxso6,Corporate Events,Closed Lost,2019-08-06,2019-11-06,300.0,Not_Specified,financial control,lost to competitor,92 days,False
1bftu3hh,Corporate Events,Closed Lost,2019-09-06,2019-11-25,576.0,2SEMESTERS20SALE,operations,not target,80 days,True
ds0zhhfh,Educational Seminars,Closed Won,2019-11-06,2019-11-09,360.0,DISCOUNT25QUICK,Not_Specified,Not_Specified,3 days,True
a76jsb7c,Educational Seminars,Checkbox,2019-11-12,2019-11-16,1344.0,ANNUAL30BONUS,quality of delivery,Not_Specified,4 days,True
639ka38k,Corporate Events,Closed Won,2019-08-06,2019-08-06,768.0,2SEMESTERS20OFF,operations,Not_Specified,0 days,True
7gp0128i,Sports Events,Closed Won,2019-05-07,2019-05-07,458.0,FULLYEAR75G,quality of delivery,Not_Specified,0 days,True
aqyfe1s0,Corporate Events,Closed Won,2019-11-18,2019-11-18,576.0,2SEMESTERS20SALE,financial control,Not_Specified,0 days,True
dmlsarg4,Corporate Events,Closed Won,2019-10-07,2019-12-07,1344.0,YEARLY30PROMO,quality of delivery,Not_Specified,61 days,True
3mo2wica,Corporate Events,Closed Won,2019-09-07,2019-09-07,360.0,MONTHSAVE25DEAL,financial control,Not_Specified,0 days,True
72dzy0wj,Corporate Events,Closed Won,2019-12-08,2019-12-08,240.0,MONTH50REBATE,quality of delivery,Not_Specified,0 days,True
w01t78a3,Corporate Events,Closed Won,2019-12-09,2019-12-11,360.0,MONTHSAVE25DEAL,financial control,Not_Specified,2 days,True
czuu77sp,Corporate Events,Closed Won,2019-12-15,2019-12-15,300.0,MONTH50CUTBACK,financial control,Not_Specified,0 days,True
py7mzhxw,Corporate Events,Closed Won,2020-01-27,2020-01-27,240.0,MONTH50REBATE,Not_Specified,Not_Specified,0 days,True
7g6gskfn,Sports Events,Closed Won,2020-09-26,2020-09-26,8014.0,YEARLONG75BONUS,operations,Not_Specified,0 days,True
7hlaz922,Corporate Events,Closed Won,2019-12-11,2019-12-14,360.0,MONTHSAVE25DEAL,operations,Not_Specified,3 days,True
pjh07ju4,Corporate Events,Closed Won,2019-11-17,2019-11-17,576.0,2SEMESTERS20SALE,operations,Not_Specified,0 days,True
yhndnb3b,Corporate Events,Demo 1,2019-12-24,2020-01-26,300.0,MONTH50CUTBACK,financial control,Not_Specified,33 days,True
9fxlh4e3,Educational Seminars,Closed Won,2019-11-11,2019-11-11,450.0,SAVEQUARTER25,financial control,Not_Specified,0 days,True
639e4b2v,Corporate Events,Closed Won,2020-03-27,2020-03-27,120.0,GIVEAWAYFREE,operations,Not_Specified,0 days,True
olpln55c,Corporate Events,Closed Lost,2019-11-09,2019-11-23,300.0,MONTH50CUTBACK,financial control,no budget,14 days,True
sqlgtv8i,Corporate Events,Closed Lost,2019-11-25,2019-11-25,200.0,Not_Specified,quality of delivery,no response,0 days,False
9opuw6zt,Corporate Events,Negotiation,2019-12-08,2019-12-08,240.0,MONTH50REBATE,quality of delivery,Not_Specified,0 days,True
kriy6sw7,Corporate Events,Demo 1,2019-05-07,2020-01-26,240.0,MONTH50REBATE,financial control,Not_Specified,264 days,True
4ffk9frh,Sports Events,Checkbox,2019-12-14,2019-12-15,360.0,25GIFT,operations,Not_Specified,1 days,True
aix92b45,Educational Seminars,Closed Won,2019-11-11,2019-11-17,1344.0,ANNUAL30BONUS,quality of delivery,Not_Specified,6 days,True
rv6e5ldw,Corporate Events,Closed Won,2019-12-24,2019-12-24,200.0,MONTHSAVE25DEAL,operations,Not_Specified,0 days,True
kb8r8dr0,Sports Events,Closed Won,2019-07-06,2019-07-06,576.0,HALFSEASON20G,operations,Not_Specified,0 days,True
dke1bnez,Corporate Events,Closed Won,2019-11-06,2019-12-06,1344.0,YEARLY30PROMO,quality of delivery,Not_Specified,30 days,True
pqq9wpec,Corporate Events,Closed Won,2019-11-17,2019-11-17,240.0,MONTH50REBATE,operations,Not_Specified,0 days,True
2tx1zdfg,Corporate Events,Closed Lost,2020-10-27,2020-10-27,200.0,Not_Specified,financial control,lost to competitor,0 days,False
ckn43jx5,Corporate Events,Closed Lost,2019-08-06,2019-11-23,0.0,Not_Specified,operations,not target,109 days,False
h83mbduk,Corporate Events,Closed Won,2019-10-06,2019-10-06,300.0,MONTH50CUTBACK,financial control,Not_Specified,0 days,True
4ep26xqh,Corporate Events,Closed Won,2019-07-07,2019-07-07,45744.0,DISCOUNT75SPECIAL,operations,Not_Specified,0 days,True
9ccg79id,Corporate Events,Closed Won,2019-12-24,2019-12-24,240.0,MONTH50REBATE,financial control,Not_Specified,0 days,True
6p2rj2xe,Educational Seminars,Negotiation,2020-02-25,2020-02-25,768.0,HALFYEAR20G,operations,Not_Specified,0 days,True
679b8m18,Corporate Events,Demo 1,2019-05-07,2020-01-26,Not_Specified,Not_Specified,operations,Not_Specified,264 days,False
e05ebbls,Corporate Events,Closed Won,2019-07-06,2019-07-06,300.0,SAVEMONTH50SPECIAL,Not_Specified,Not_Specified,0 days,True
xz6xrs8r,Corporate Events,Demo 1,2019-11-24,2020-01-26,Not_Specified,Not_Specified,operations,Not_Specified,63 days,False
5yf37r48,Educational Seminars,Closed Lost,2019-11-24,2019-11-25,1344.0,ANNUAL30BONUS,financial control,lost to competitor,1 days,True
2ktfmndt,Corporate Events,Closed Won,2019-11-24,2019-11-25,360.0,SAVE25LESS,operations,Not_Specified,1 days,True
0ntnaqye,Corporate Events,Closed Won,2020-02-25,2020-03-27,150.0,ECONOMY75DISCOUNT,Not_Specified,Not_Specified,31 days,True
rg092esy,Corporate Events,Demo 1,2019-02-07,2020-01-26,768.0,2SEMESTERS20OFF,quality of delivery,Not_Specified,353 days,True
bloey9kk,Sports Events,Closed Won,2019-09-07,2020-02-25,150.0,MONTH75SPECIAL,operations,Not_Specified,171 days,True
1dmzvsmr,Corporate Events,Closed Won,2019-12-09,2019-12-09,360.0,MONTHSAVE25DEAL,Not_Specified,Not_Specified,0 days,True
qqxsucdr,Educational Seminars,Negotiation,2020-03-27,2020-03-27,0.0,Not_Specified,financial control,Not_Specified,0 days,False
mtfenudq,Corporate Events,Closed Won,2019-12-15,2019-12-15,240.0,MONTH50REBATE,Not_Specified,Not_Specified,0 days,True
40qkfj6l,Corporate Events,Closed Lost,2019-11-19,2019-12-11,1344.0,YEARLY30PROMO,quality of delivery,not target,22 days,True
px9udct8,Corporate Events,Closed Won,2019-12-21,2019-12-21,768.0,2SEMESTERS20OFF,financial control,Not_Specified,0 days,True
oflxcfos,Sports Events,Closed Won,2020-02-25,2020-03-27,960.0,YEARLY60,operations,Not_Specified,31 days,True
ndf502s3,Corporate Events,Closed Won,2019-11-06,2019-11-06,200.0,ECONOMY75DISCOUNT,Not_Specified,Not_Specified,0 days,True
qtlef5ah,Corporate Events,Closed Won,2020-04-26,2020-04-26,960.0,ANNUAL60DEAL,financial control,Not_Specified,0 days,True
ni9ersho,Sports Events,Closed Lost,2019-09-06,2019-10-06,360.0,25GIFT,operations,no product fit,30 days,True
3bty4oky,Educational Seminars,Closed Won,2019-11-12,2019-11-12,768.0,HALFYEAR20G,Not_Specified,Not_Specified,0 days,True
826utbcm,Corporate Events,Closed Won,2019-11-12,2019-11-13,576.0,2SEMESTERS20SALE,operations,Not_Specified,1 days,True
gxjboed5,Corporate Events,Negotiation,2019-07-07,2019-07-07,600.0,PROMOTIONCODE,quality of delivery,Not_Specified,0 days,True
shisqr67,Educational Seminars,Closed Won,2019-08-06,2019-08-06,1344.0,ANNUAL30BONUS,operations,Not_Specified,0 days,True
zxfja10b,Corporate Events,Closed Won,2019-12-24,2019-12-24,240.0,MONTH50REBATE,operations,Not_Specified,0 days,True
zwp95waj,Corporate Events,Closed Won,2020-08-27,2020-08-27,360.0,MONTHSAVE25DEAL,operations,Not_Specified,0 days,True
2iw6563f,Corporate Events,Demo 1,2019-12-15,2020-01-26,324.0,10OFFREDUCED,operations,Not_Specified,42 days,True
cnawt51h,Corporate Events,Closed Won,2019-12-16,2019-12-16,300.0,MONTH50CUTBACK,quality of delivery,Not_Specified,0 days,True
zyxx6295,Educational Seminars,Closed Won,2019-08-06,2019-11-25,150.0,MONTH75SPECIAL,financial control,Not_Specified,111 days,True
b1kh5ct3,Corporate Events,Closed Won,2019-12-23,2019-12-23,1680.0,YEARLY30DISCOUNT,Not_Specified,Not_Specified,0 days,True
ezn6xdj3,Corporate Events,Closed Won,2019-12-24,2019-12-24,324.0,10OFFREDUCED,quality of delivery,Not_Specified,0 days,True
6i73rdhu,Corporate Events,Closed Lost,2020-04-26,2020-08-27,150.0,QUARTERLY75OFF,Not_Specified,not target,123 days,True
g6wq6vnf,Educational Seminars,Closed Won,2020-10-27,2020-10-27,1344.0,ANNUAL30BONUS,operations,Not_Specified,0 days,True
eb5fi1st,Corporate Events,Closed Lost,2019-11-06,2019-11-09,360.0,SAVE25LESS,Not_Specified,not target,3 days,True
mkcbpiza,Corporate Events,Demo 1,2019-11-09,2020-01-26,Not_Specified,Not_Specified,operations,Not_Specified,78 days,False
cdyyygy2,Educational Seminars,Closed Lost,2019-11-09,2019-11-09,0.0,Not_Specified,financial control,no product fit,0 days,False
q7sgpahz,Corporate Events,Closed Lost,2019-08-06,2019-08-06,200.0,Not_Specified,operations,no product fit,0 days,False
hyizcxnw,Corporate Events,Demo 1,2019-11-11,2020-01-26,Not_Specified,Not_Specified,Not_Specified,Not_Specified,76 days,False
bsw0vzh6,Educational Seminars,Closed Won,2019-11-23,2019-11-23,120.0,NOCOSTREG,financial control,Not_Specified,0 days,True
8i2d003s,Corporate Events,Closed Won,2019-11-18,2019-11-18,1008.0,RENEW30YEARLY,financial control,Not_Specified,0 days,True
79gteql2,Sports Events,Closed Won,2019-09-07,2019-09-07,300.0,ECONOMY50SPECIAL,operations,Not_Specified,0 days,True
fqfr3vgj,Corporate Events,Closed Won,2019-12-09,2019-12-09,360.0,MONTHSAVE25DEAL,operations,Not_Specified,0 days,True
c2riz5ly,Corporate Events,Closed Won,2019-12-22,2019-12-22,360.0,MONTHSAVE25DEAL,operations,Not_Specified,0 days,True
18kobh4l,Sports Events,Checkbox,2020-09-26,2020-01-26,420.0,Not_Specified,Not_Specified,Not_Specified,-244 days,False
yqw6ty7x,Corporate Events,Checkbox,2019-08-06,2019-08-06,1344.0,YEARLY30PROMO,financial control,Not_Specified,0 days,True
ybc74kqx,Sports Events,Closed Lost,2019-10-06,2019-11-12,0.0,Not_Specified,operations,no product fit,37 days,False
8jd5v6m6,Corporate Events,Closed Won,2019-11-09,2019-11-09,240.0,MONTH50REBATE,operations,Not_Specified,0 days,True
4vyyswj2,Corporate Events,Closed Won,2019-11-09,2019-07-07,768.0,2SEMESTERS20OFF,financial control,Not_Specified,-125 days,True
kyibon5q,Corporate Events,Closed Won,2019-11-16,2019-11-16,300.0,MONTH50CUTBACK,operations,Not_Specified,0 days,True
sc6xa05g,Educational Seminars,Demo 1,2019-12-18,2020-01-26,Not_Specified,Not_Specified,financial control,Not_Specified,39 days,False
igirhobj,Corporate Events,Closed Lost,2020-03-27,2020-08-27,360.0,MONTHSAVE25DEAL,quality of delivery,lost to competitor,153 days,True
oyjo0u29,Educational Seminars,Closed Won,2019-11-18,2019-11-18,120.0,MONTH75SAVINGS,operations,Not_Specified,0 days,True
85av72ze,Corporate Events,Closed Won,2019-05-07,2019-05-07,768.0,2SEMESTERS20OFF,financial control,Not_Specified,0 days,True
tywn59t4,Corporate Events,Closed Lost,2019-05-07,2019-09-07,324.0,10OFFREDUCED,Not_Specified,lost to competitor,123 days,True
2ihozyor,Corporate Events,Closed Lost,2020-02-25,2020-03-27,768.0,2SEMESTERS20OFF,financial control,price,31 days,True
9pdj8a6l,Corporate Events,Closed Won,2020-08-27,2020-08-27,576.0,2SEMESTERS20SALE,time saving,Not_Specified,0 days,True
p9lz6lwb,Corporate Events,Closed Won,2019-11-25,2019-02-07,360.0,MONTHSAVE25DEAL,operations,Not_Specified,-291 days,True
rpbir3em,Corporate Events,Closed Won,2019-01-07,2019-01-07,360.0,MONTHSAVE25DEAL,financial control,Not_Specified,0 days,True
hyypr9a3,Educational Seminars,Closed Lost,2019-01-07,2019-01-07,240.0,ECONOMY50GIFT,operations,no product fit,0 days,True
t9wueppe,Educational Seminars,Closed Won,2019-02-07,2019-05-07,576.0,HALFSEASON20G,operations,Not_Specified,89 days,True
tjsygqiw,Educational Seminars,Checkbox,2019-11-17,2019-11-17,576.0,HALFSEASON20G,operations,Not_Specified,0 days,True
db3xwjps,Educational Seminars,Closed Won,2019-11-17,2019-11-17,120.0,NOCOSTREG,financial control,Not_Specified,0 days,True
d88x0lt9,Sports Events,Closed Lost,2019-11-16,2019-11-17,360.0,MONTHSAVE25DEAL,operations,lost to competitor,1 days,True
r8teasrc,Corporate Events,Demo 1,2019-11-19,2020-01-26,Not_Specified,Not_Specified,Not_Specified,Not_Specified,68 days,False
06xneadd,Corporate Events,Closed Won,2019-11-20,2019-11-20,240.0,MONTH50REBATE,operations,Not_Specified,0 days,True
evfrme75,Corporate Events,Closed Won,2019-12-08,2019-12-08,240.0,MONTH50REBATE,quality of delivery,Not_Specified,0 days,True
bxfvo08z,Corporate Events,Closed Won,2019-12-10,2019-12-10,360.0,MONTHSAVE25DEAL,quality of delivery,Not_Specified,0 days,True
xinpbyxr,Sports Events,Checkbox,2020-08-27,2020-10-27,324.0,SLASH10,Not_Specified,Not_Specified,61 days,True
dahu0wbb,Educational Seminars,Closed Won,2020-09-26,2020-09-26,1344.0,ANNUAL30BONUS,financial control,Not_Specified,0 days,True
eq0lj3hb,Sports Events,Closed Won,2019-07-06,2019-07-06,768.0,HALFYEAR20G,Not_Specified,Not_Specified,0 days,True
ttp2r4wa,Educational Seminars,Negotiation,2019-07-06,2019-07-06,768.0,HALFYEAR20G,quality of delivery,Not_Specified,0 days,True
